,name,year,duration,description,genre,country
0,Побег из Шоушенка,1994,2h 22m,"Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.","['Эпический', 'Период драма', 'Тюремная драма', 'Драма']",United States
1,Крестный отец,1972,2h 55m,Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,"['Эпический', 'Гангстер', 'Трагедия', 'Преступление', 'Драма']",United States
2,Тёмный рыцарь,2008,2h 32m,"Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.","['Действие Эпик', 'Эпический', 'Супергерой', 'Трагедия', 'Действие', 'Преступление', 'Драма', 'Триллер']",United States
3,Крестный отец 2,1974,3h 22m,"Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.","['Эпический', 'Гангстер', 'Трагедия', 'Преступление', 'Драма']",United States
4,12 разгневанных мужчин,1957,1h 36m,"Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.","['Юридическая драма', 'Психологическая драма', 'Преступление', 'Драма']",United States
5,Властелин колец: Возвращение короля,2003,3h 21m,"Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.","['Действие Эпик', 'Приключенческий эпос', 'Эпический', 'Фэнтезийный эпический', 'Горные приключения', 'Квест', 'Меч и колдовство', 'Трагедия', 'Приключение', 'Драма']",New Zealand
6,Список Шиндлера,1993,3h 15m,"В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.","['Docudrama', 'Эпический', 'Исторический эпический', 'Период драма', 'Тюремная драма', 'Трагедия', 'Биография', 'Драма', 'История']",United States
7,Криминальное чтиво,1994,2h 34m,"Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.","['Темная комедия', 'Преступление на наркотиках', 'Гангстер', 'Преступление', 'Драма']",United States
8,Властелин колец: Братство кольца,2001,2h 58m,"Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.","['Действие Эпик', 'Приключенческий эпос', 'Эпический', 'Фэнтезийный эпический', 'Квест', 'Меч и колдовство', 'Приключение', 'Драма', 'Фантастика']",New Zealand
9,"Хороший, плохой, злой",1966,2h 41m,"Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.","['Приключенческий эпос', 'Темная комедия', 'Пустынное приключение', 'Эпический', 'Период драма', 'Квест', 'Спагетти Вестерн', 'Западный Эпик', 'Приключение', 'Западный']",Italy
